# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.83,4.93,0.0,0,3.0,0,180.0,0.0,0.08905154915817073
 0.07979672137928637,1.8395512751143253,4.93,0.0,0.2393901641378591,3.0,0,-179.99289397834343,0.0,0.6439362416119437
 0.1129008417392337,1.8491199000981413,4.93,0.0,0.3387025252177011,3.0,0,-179.97157703549698,0.0,1.3966216387549728
 0.13833686310550314,1.8587056315408061,4.93,0.0,0.4150105893165094,3.0,0,-179.936052537653,0.0,2.3158925266254187
 0.1598086898590085,1.8683082260316792,4.93,0.0,0.47942606957702555,3.0000000000000013,0,-179.88632609454157,0.0,3.3746308365692865
 0.17875017978568022,1.8779274401601196,4.93,0.0,0.5362505393570407,3.0,0,-179.82240555854446,0.0,4.555235338407749
 0.19589628295858696,1.8875630305154862,4.93,0.0,0.5876888488757609,2.9999999999999982,0,-179.74430102345525,0.0,5.8450545401210645
 0.21168333848327617,1.897214753687138,4.93,0.0,0.6350500154498285,3.0000000000000018,0,-179.65202482288552,0.0,7.234387647368948
 0.22639547443126154,1.906882366264434,4.93,0.0,0.6791864232937846,3.0,0,-179.545591528317,0.0,8.715459027338465
 0.24022992435960627,1.9165656248367333,4.93,0.0,0.7206897730788189,3.000000000000002,0,-179.42501794680075,0.0,10.281830967874045
 0.25333020084913443,1.9262642859933943,4.93,0.0,0.7599906025474034,3.0,0,-179.290323118303,0.0,11.928039909557663
 0.2658045727268774,1.9359781063237769,4.93,0.0,0.7974137181806322,2.9999999999999956,0,-179.14152831269863,0.0,13.649357432049701
 0.2777370968106819,1.9457068424172392,4.93,0.0,0.8332112904320458,3.0,0,-178.97865702641224,0.0,15.441625845125005
 0.2891945721749067,1.955450250863141,4.93,0.0,0.8675837165247201,3.000000000000005,0,-178.80173497870814,0.0,17.301140871441838
 0.30023112014006875,1.9652080882508407,4.93,0.0,0.9006933604202064,3.00000000000001,0,-178.61079010762845,0.0,19.224565378675898
 0.31089131130744874,1.9749801111696976,4.93,0.0,0.9326739339223464,3.0000000000000053,0,-178.40585256558197,0.0,21.20886433348144
 0.32121236610594583,1.9847660762090704,4.93,0.0,0.9636370983178378,3.0000000000000107,0,-178.1869547145822,0.0,23.251254703909563
 0.33122574372404306,1.9945657399583183,4.93,0.0,0.9936772311721295,2.9999999999999947,0,-177.9541311211374,0.0,25.34916616590569
 0.3409583151518674,2.0043788590068004,4.93,0.0,1.0228749454556025,3.0,0,-177.70741855079194,0.0,27.500209793009763
 0.3504332460863031,2.0142051899438753,4.93,0.0,1.0512997382589095,2.9999999999999942,0,-177.44685596232068,0.0,29.702152759988632
 0.3596706728466122,2.0240444893589022,4.93,0.0,1.0790120185398369,3.000000000000006,0,-177.17248450157678,0.0,31.952897654261708
 0.36868822767684534,2.03389651384124,4.93,0.0,1.1060646830305363,3.0,0,-176.88434749499464,0.0,34.250465371513776
 0.3775014525183962,2.0437610199802485,4.93,0.0,1.1325043575551887,2.999999999999994,0,-176.58249044274774,0.0,36.59298083647497
 0.3861241288888716,2.053637764365285,4.93,0.0,1.158372386666615,2.999999999999987,0,-176.2669610115638,0.0,38.978660978002516
 0.3945685437586309,2.06352650358571,4.93,0.0,1.1837056312758927,2.9999999999999933,0,-175.93780902719786,0.0,41.40580452251638
 0.40284570597263125,2.0734269942308816,4.93,0.0,1.2085371179178939,3.0000000000000067,0,-175.5950864665638,0.0,43.87278326838549
 0.4109655240123837,2.08333899289016,4.93,0.0,1.2328965720371512,3.0000000000000067,0,-175.23884744952701,0.0,46.37803457799592
 0.41893695321444413,2.093262256152902,4.93,0.0,1.2568108596433325,2.999999999999993,0,-174.8691482303578,0.0,48.92005487853289
 0.4267681186221768,2.1031965406084687,4.93,0.0,1.2803043558665306,3.000000000000014,0,-174.48604718884866,0.0,51.49739400559443
 0.43446641822371634,2.113141602846218,4.93,0.0,1.3033992546711493,3.0,0,-174.08960482109507,0.0,54.10865025512244
 0.4420386102710251,2.123097199455509,4.93,0.0,1.3261158308130754,2.9999999999999853,0,-173.67988372994262,0.0,56.752466035100305
 0.4494908875796416,2.1330630870257012,4.93,0.0,1.348472662738925,3.0,0,-173.2569486151012,0.0,59.427524027790795
 0.45682894110462036,2.1430390221461533,4.93,0.0,1.3704868233138612,3.0,0,-172.82086626292832,0.0,62.13254378916537
 0.4640580146247693,2.153024761406224,4.93,0.0,1.392174043874308,2.9999999999999925,0,-172.37170553588257,0.0,64.86627872455952
 0.47118295200857496,2.163020061395273,4.93,0.0,1.413548856025725,3.000000000000008,0,-171.9095373616496,0.0,67.62751338975386
 0.4782082382551613,2.173024678702658,4.93,0.0,1.434624714765484,3.000000000000008,0,-171.43443472194173,0.0,70.41506107472085
 0.48513803528325083,2.1830383699177394,4.93,0.0,1.4554141058497525,2.999999999999976,0,-170.94647264097338,0.0,73.22776163414117
 0.4919762132663696,2.193060891629875,4.93,0.0,1.4759286397991087,2.999999999999992,0,-170.44572817361373,0.0,76.06447953382443
 0.4987263781730582,2.2030920004284247,4.93,0.0,1.4961791345191746,3.0000000000000084,0,-169.93228039321897,0.0,78.92410208733607
 0.5053918960587231,2.213131452902747,4.93,0.0,1.5161756881761692,2.9999999999999667,0,-169.4062103791458,0.0,81.80553786019927
